ISP_Name,Time,Text,Coordinates,Place,Source
swiftng,2019-04-04 21:22:04+00:00,"ThanK God for d rain but this is Nigeria ......3 things will happen dis night
1 )@DStvNg will loose signal
2)@swiftng will b slow or unstable 
3) @EKEDP will take light 

THIS IS NIGERIA",,"Place(_api=<tweepy.api.API object at 0x7fd1dce221d0>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd1dce221d0>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for Android
swiftng,2019-05-28 22:37:16+00:00,"Okay, looks like @SwiftNG will finally make me smile.😏",,"Place(_api=<tweepy.api.API object at 0x7fd1dce221d0>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd1dce221d0>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for Android
