ISP_Name,Time,Text,Coordinates,Place,Source
swiftng,2020-07-16 00:51:57+00:00,24k for monthly Internet subscription 😔😩 SwiftNG this one hard gan oo,,"Place(_api=<tweepy.api.API object at 0x7fd1db56b250>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd1db56b250>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for iPhone
swiftng,2020-07-09 18:42:08+00:00,@SwiftNG as usual being a bastard https://t.co/ZTgwSqJtV0,,"Place(_api=<tweepy.api.API object at 0x7fd1db56b250>, id='00817d75276a95cf', url='https://api.twitter.com/1.1/geo/id/00817d75276a95cf.json', place_type='city', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd1db56b250>, type='Polygon', coordinates=[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]), attributes={})",Twitter for iPhone
swiftng,2020-08-15 21:15:32+00:00,@alaafinofEko You're a great guy. I salute you. Do me I do you. They should go collect @SwiftNG,,"Place(_api=<tweepy.api.API object at 0x7fd1db56b250>, id='011a942e0a0e8fb2', url='https://api.twitter.com/1.1/geo/id/011a942e0a0e8fb2.json', place_type='admin', name='Lagos', full_name='Lagos, Nigeria', country_code='NG', country='Nigeria', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd1db56b250>, type='Polygon', coordinates=[[[2.706304, 6.370388], [2.706304, 6.698546], [4.350022, 6.698546], [4.350022, 6.370388]]]), attributes={})",Twitter for Android
